Regiao,Estado,Cidade,Latitude,Longitude,Ano,Temp_Media_Anual,Temp_Max_Media_Anual,Temp_Min_Media_Anual,Maior_Temp_Max,Menor_Temp_Min,Precipitacao_Total,Dias_Quentes,Dias_Muito_Quentes,Dias_Frios,Dias_Chuva_Forte,Dias_Extremos,Amplitude_Media
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,25.752876712328764,28.71095890410959,23.264657534246577,31.5,20.6,1739.6,66,0,0,16,16,5.446301369863014
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,25.66748633879781,28.734426229508195,23.100819672131145,31.3,20.3,652.0,68,0,0,2,2,5.63360655737705
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,26.070410958904112,28.907397260273974,23.60931506849315,32.9,20.8,749.5,101,0,0,2,2,5.298082191780821
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,25.85013698630137,28.58712328767123,23.34904109589041,31.4,20.7,866.9,48,0,0,5,5,5.238082191780822
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,26.10821917808219,28.836438356164383,23.587671232876712,31.3,21.0,689.9,97,0,0,1,1,5.248767123287671
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,26.242896174863386,28.963387978142077,23.762295081967213,31.3,20.4,817.2,76,0,0,4,4,5.201092896174863
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,26.134520547945208,28.725753424657533,23.844109589041096,31.3,20.6,1065.8,74,0,0,9,9,4.881643835616439
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,26.093424657534246,28.74602739726027,23.74082191780822,31.1,20.5,809.2,58,0,0,4,4,5.005205479452055
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,26.315068493150687,29.000821917808217,23.947945205479453,32.0,20.9,884.5,109,0,0,4,4,5.052876712328767
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,26.319398907103825,29.087704918032788,23.932240437158473,31.9,20.1,1031.1,97,0,0,6,6,5.1554644808743175
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,26.229041095890413,29.035068493150682,23.823561643835617,31.2,20.7,624.2,99,0,0,1,1,5.211506849315069
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2022,26.06219178082192,28.803561643835614,23.69041095890411,31.8,20.2,1249.7,94,0,0,6,6,5.113150684931507
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2023,26.259726027397257,29.03068493150685,23.910958904109588,31.4,21.1,969.9,100,0,0,3,3,5.1197260273972605
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2024,26.49590163934426,29.314207650273225,24.110109289617483,32.4,20.1,997.1,133,0,0,5,5,5.204098360655737
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2025,26.065479452054795,28.8,23.73178082191781,31.3,20.7,951.4,83,0,0,3,3,5.068219178082192
Nordeste,PE,Recife,-8.05,-34.88,2011,25.975616438356166,29.52986301369863,23.010410958904107,34.5,19.1,1345.3,149,0,0,13,13,6.51945205479452
Nordeste,PE,Recife,-8.05,-34.88,2012,25.94808743169399,29.620218579234972,22.86830601092896,33.8,19.9,604.4,166,0,0,1,1,6.75191256830601
Nordeste,PE,Recife,-8.05,-34.88,2013,26.264657534246577,29.653150684931507,23.3427397260274,33.9,20.5,1155.2,156,0,0,5,5,6.31041095890411
Nordeste,PE,Recife,-8.05,-34.88,2014,26.05917808219178,29.362465753424654,23.064657534246578,33.3,20.2,848.1,152,0,0,3,3,6.297808219178082
Nordeste,PE,Recife,-8.05,-34.88,2015,26.392602739726026,29.787123287671232,23.307945205479452,33.6,20.6,674.7,188,0,0,0,0,6.4791780821917815
Nordeste,PE,Recife,-8.05,-34.88,2016,26.47896174863388,29.70546448087432,23.549999999999997,33.1,19.8,823.7,170,0,0,4,4,6.1554644808743175
