Ano,Temp_Media_Brasil,Temp_Max_Media_Brasil,Temp_Min_Media_Brasil,Precipitacao_Total,Dias_Extremos
2011,26.653698630136986,30.61412915851272,23.663874755381602,14885.8,231
2012,26.50081967213115,30.530835284933644,23.420686963309915,11538.1,156
2013,26.531428571428574,30.403718199608612,23.55608610567515,13316.9,141
2014,26.407084148727986,30.201213307240707,23.462348336594914,14299.8,156
2015,26.91452054794521,30.867475538160466,23.805166340508805,11498.7,224
2016,26.940983606557378,30.788836846213897,23.923224043715848,12472.2,182
2017,26.690763209393346,30.483561643835618,23.807279843444228,13671.4,194
2018,26.464500978473584,30.233385518591,23.574207436399217,13993.6,149
2019,26.691545988258316,30.447866927592955,23.826692759295497,13559.5,162
2020,26.797697111631535,30.717564402810304,23.851131928181108,12908.6,194
2021,26.506027397260272,30.32215264187867,23.649941291585126,13239.8,177
2022,26.456634050880623,30.385166340508807,23.50191780821918,14947.4,205
2023,26.976908023483364,30.971115459882583,23.982739726027397,11600.0,257
2024,27.244769711163155,31.24016393442623,24.211397345823574,12267.5,281
2025,26.57996086105675,30.417534246575343,23.717690802348336,14115.8,184
