Regiao,Estado,Cidade,Latitude,Longitude,Ano,Mes,Nome_Mes,Temp_Media_Mensal,Temp_Max_Media_Mensal,Temp_Min_Media_Mensal,Maior_Temp_Max,Menor_Temp_Min,Precipitacao_Total,Dias_Quentes,Dias_Muito_Quentes,Dias_Frios,Dias_Chuva_Forte,Dias_Extremos,Amplitude_Media
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,1,Jan,26.432258064516127,29.396774193548385,23.948387096774194,31.0,23.0,107.7,10,0,0,0,0,5.4483870967741925
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,2,Fev,26.825,29.900000000000002,24.146428571428572,31.2,23.5,79.0,16,0,0,0,0,5.753571428571428
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,3,Mar,27.13225806451613,30.312903225806455,24.306451612903224,31.4,23.6,81.5,23,0,0,0,0,6.006451612903225
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,4,Abr,26.259999999999998,29.196666666666665,24.006666666666668,31.5,22.8,228.6,9,0,0,3,3,5.19
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,5,Mai,25.638709677419353,28.46451612903226,23.59032258064516,30.3,22.1,331.2,1,0,0,5,5,4.874193548387097
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,6,Jun,25.033333333333335,27.87,22.80666666666667,29.4,20.6,203.2,0,0,0,2,2,5.0633333333333335
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,7,Jul,24.238709677419354,26.919354838709676,22.106451612903225,28.6,21.0,466.3,0,0,0,4,4,4.812903225806451
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,8,Ago,24.40967741935484,27.335483870967742,21.835483870967742,28.9,20.6,117.5,0,0,0,2,2,5.5
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,9,Set,24.82,28.023333333333333,22.13,29.5,20.9,25.900000000000002,0,0,0,0,0,5.8933333333333335
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,10,Out,25.79032258064516,28.76774193548387,23.10967741935484,29.6,21.8,26.0,0,0,0,0,0,5.658064516129032
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,11,Nov,26.043333333333333,28.886666666666667,23.366666666666667,29.7,22.0,41.4,0,0,0,0,0,5.52
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2011,12,Dez,26.48709677419355,29.54516129032258,23.883870967741935,30.5,22.6,31.3,7,0,0,0,0,5.661290322580645
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,1,Jan,26.251612903225805,29.174193548387095,23.76451612903226,31.0,22.3,79.7,9,0,0,0,0,5.409677419354839
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,2,Fev,26.279310344827586,29.29655172413793,23.78620689655172,30.3,22.9,82.6,7,0,0,0,0,5.510344827586207
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,3,Mar,26.76774193548387,29.896774193548385,24.177419354838708,31.3,23.1,109.7,17,0,0,1,1,5.719354838709678
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,4,Abr,26.759999999999998,29.903333333333332,24.033333333333335,31.2,21.9,35.7,14,0,0,0,0,5.87
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,5,Mai,25.993548387096773,29.074193548387097,23.470967741935485,30.9,22.6,62.0,4,0,0,0,0,5.603225806451612
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,6,Jun,24.883333333333333,27.783333333333335,22.58,29.4,21.1,97.9,0,0,0,1,1,5.203333333333333
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,7,Jul,24.270967741935483,27.387096774193548,21.84193548387097,28.9,20.7,77.0,0,0,0,0,0,5.54516129032258
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,8,Ago,23.938709677419357,27.29032258064516,21.235483870967744,28.7,20.3,36.2,0,0,0,0,0,6.054838709677419
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,9,Set,24.663333333333334,27.790000000000003,21.94333333333333,28.9,20.5,18.6,0,0,0,0,0,5.846666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,10,Out,25.283870967741933,28.241935483870968,22.703225806451613,29.6,21.2,24.7,0,0,0,0,0,5.538709677419354
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,11,Nov,26.333333333333332,29.486666666666668,23.663333333333334,30.9,22.8,6.8,7,0,0,0,0,5.823333333333334
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2012,12,Dez,26.62258064516129,29.5258064516129,24.048387096774192,30.8,23.2,21.1,10,0,0,0,0,5.47741935483871
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,1,Jan,26.96451612903226,30.019354838709678,24.5,31.0,23.8,33.3,19,0,0,0,0,5.519354838709677
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,2,Fev,27.339285714285715,30.49285714285714,24.685714285714287,31.4,23.5,33.7,24,0,0,0,0,5.807142857142857
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,3,Mar,27.65806451612903,30.738709677419354,25.141935483870967,31.9,24.4,27.9,28,0,0,0,0,5.596774193548387
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,4,Abr,27.146666666666665,30.316666666666666,24.486666666666668,32.9,23.5,66.0,21,0,0,0,0,5.83
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,5,Mai,26.12258064516129,29.08709677419355,23.580645161290324,30.5,21.3,80.4,6,0,0,0,0,5.506451612903226
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,6,Jun,25.026666666666664,27.846666666666668,22.746666666666666,29.5,21.9,87.7,0,0,0,0,0,5.1
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,7,Jul,24.419354838709676,27.04516129032258,22.299999999999997,29.1,21.4,167.0,0,0,0,1,1,4.745161290322581
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,8,Ago,24.541935483870965,27.33225806451613,22.067741935483873,29.0,20.8,106.6,0,0,0,1,1,5.264516129032257
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,9,Set,24.926666666666666,27.553333333333335,22.466666666666665,28.8,20.9,56.3,0,0,0,0,0,5.086666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,10,Out,25.89032258064516,28.606451612903225,23.322580645161292,29.7,22.4,31.0,0,0,0,0,0,5.283870967741935
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,11,Nov,26.176666666666666,28.673333333333336,23.86,29.6,22.6,28.4,0,0,0,0,0,4.8133333333333335
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2013,12,Dez,26.72258064516129,29.29032258064516,24.229032258064517,30.2,23.0,31.2,3,0,0,0,0,5.061290322580645
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,1,Jan,26.59032258064516,29.403225806451612,23.89032258064516,30.6,23.1,55.0,6,0,0,0,0,5.512903225806451
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,2,Fev,26.62142857142857,29.314285714285713,24.053571428571427,30.7,23.1,43.9,5,0,0,0,0,5.260714285714285
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,3,Mar,26.993548387096773,29.86774193548387,24.312903225806448,31.4,23.5,77.6,16,0,0,0,0,5.55483870967742
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,4,Abr,27.240000000000002,30.086666666666666,24.65,31.3,24.2,47.7,17,0,0,0,0,5.4366666666666665
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,5,Mai,25.91290322580645,28.719354838709677,23.48709677419355,30.0,22.0,163.6,1,0,0,2,2,5.232258064516129
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,6,Jun,25.086666666666666,27.75,22.71333333333333,29.1,21.6,113.1,0,0,0,1,1,5.036666666666666
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,7,Jul,24.429032258064513,27.17096774193548,22.061290322580643,28.8,20.7,146.0,0,0,0,2,2,5.109677419354839
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,8,Ago,24.283870967741933,27.13225806451613,21.629032258064516,28.4,20.8,45.1,0,0,0,0,0,5.503225806451613
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,9,Set,24.783333333333335,27.37,22.336666666666666,28.9,21.4,76.4,0,0,0,0,0,5.033333333333333
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,10,Out,25.603225806451615,28.200000000000003,23.225806451612904,29.4,22.6,38.5,0,0,0,0,0,4.974193548387096
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,11,Nov,26.283333333333335,28.89333333333333,23.903333333333332,30.0,22.4,22.5,1,0,0,0,0,4.99
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2014,12,Dez,26.448387096774194,29.200000000000003,24.0,30.7,22.8,37.5,2,0,0,0,0,5.199999999999999
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,1,Jan,26.661290322580644,29.57741935483871,24.080645161290324,30.8,22.5,30.1,13,0,0,0,0,5.496774193548387
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,2,Fev,27.146428571428572,30.082142857142856,24.54642857142857,31.0,23.3,48.6,18,0,0,0,0,5.535714285714286
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,3,Mar,26.687096774193545,29.306451612903224,24.31935483870968,30.8,23.6,120.8,9,0,0,0,0,4.9870967741935495
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,4,Abr,27.17,30.103333333333335,24.39,30.9,23.4,35.5,24,0,0,0,0,5.713333333333333
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,5,Mai,26.567741935483873,29.309677419354838,23.996774193548386,30.2,23.3,65.2,7,0,0,0,0,5.312903225806452
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,6,Jun,25.123333333333335,27.59333333333333,22.846666666666668,29.0,22.0,104.1,0,0,0,0,0,4.746666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,7,Jul,24.519354838709678,26.783870967741933,22.5,28.4,21.2,105.1,0,0,0,0,0,4.283870967741936
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,8,Ago,24.548387096774192,27.316129032258065,21.951612903225808,28.4,21.0,41.300000000000004,0,0,0,0,0,5.364516129032259
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,9,Set,25.433333333333334,28.12,22.813333333333333,28.9,21.8,26.1,0,0,0,0,0,5.306666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,10,Out,25.95483870967742,28.66774193548387,23.299999999999997,29.5,22.3,11.6,0,0,0,0,0,5.367741935483871
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,11,Nov,26.753333333333334,29.666666666666668,24.03666666666667,30.8,22.9,8.1,11,0,0,0,0,5.63
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2015,12,Dez,26.835483870967742,29.635483870967743,24.35483870967742,31.3,22.8,93.4,15,0,0,1,1,5.280645161290322
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,1,Jan,26.66774193548387,29.01290322580645,24.570967741935487,30.7,22.3,110.8,5,0,0,0,0,4.441935483870968
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,2,Fev,26.93103448275862,29.76206896551724,24.36896551724138,31.3,23.1,87.8,16,0,0,0,0,5.393103448275863
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,3,Mar,27.287096774193547,30.187096774193545,24.74516129032258,31.3,24.1,77.0,24,0,0,0,0,5.441935483870967
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,4,Abr,26.83,29.173333333333336,24.65666666666667,30.7,23.7,117.3,6,0,0,2,2,4.516666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,5,Mai,25.98709677419355,28.5,23.706451612903226,29.9,22.6,193.70000000000002,0,0,0,1,1,4.793548387096774
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,6,Jun,25.233333333333334,27.970000000000002,22.720000000000002,29.4,21.4,78.1,0,0,0,1,1,5.25
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,7,Jul,24.83225806451613,27.75483870967742,22.074193548387097,28.7,20.4,38.9,0,0,0,0,0,5.6806451612903235
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,8,Ago,25.07741935483871,28.17096774193548,22.11935483870968,29.4,20.8,23.1,0,0,0,0,0,6.051612903225807
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,9,Set,25.59,28.516666666666666,22.926666666666666,30.2,21.4,23.9,1,0,0,0,0,5.59
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,10,Out,26.438709677419357,29.25483870967742,23.88064516129032,30.1,22.6,22.4,2,0,0,0,0,5.374193548387097
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,11,Nov,26.926666666666666,29.61,24.533333333333335,30.6,23.8,17.0,8,0,0,0,0,5.076666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2016,12,Dez,27.14516129032258,29.68064516129032,24.87741935483871,30.8,23.7,27.2,14,0,0,0,0,4.803225806451613
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,1,Jan,27.103225806451615,29.68064516129032,24.661290322580644,30.9,23.6,50.6,10,0,0,0,0,5.019354838709678
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,2,Fev,27.357142857142858,30.071428571428573,24.857142857142858,31.3,24.2,32.2,15,0,0,0,0,5.214285714285714
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,3,Mar,27.261290322580646,29.77741935483871,24.925806451612903,30.9,23.4,122.30000000000001,14,0,0,1,1,4.851612903225806
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,4,Abr,26.916666666666668,29.5,24.65666666666667,30.8,23.7,115.6,10,0,0,0,0,4.843333333333334
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,5,Mai,26.287096774193547,28.677419354838708,24.11935483870968,30.5,23.1,186.8,7,0,0,2,2,4.558064516129033
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,6,Jun,25.459999999999997,27.92,23.45,29.8,22.5,153.0,0,0,0,2,2,4.47
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,7,Jul,24.029032258064515,26.203225806451613,22.348387096774193,28.1,21.0,276.4,0,0,0,4,4,3.85483870967742
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,8,Ago,24.690322580645162,27.629032258064516,22.116129032258065,28.6,20.6,28.400000000000002,0,0,0,0,0,5.512903225806451
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,9,Set,24.883333333333333,27.740000000000002,22.376666666666665,28.7,21.0,40.199999999999996,0,0,0,0,0,5.363333333333333
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,10,Out,25.861290322580647,28.43548387096774,23.567741935483873,29.3,22.4,24.2,0,0,0,0,0,4.867741935483871
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,11,Nov,26.636666666666667,29.183333333333334,24.236666666666668,30.4,23.1,13.0,3,0,0,0,0,4.946666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2017,12,Dez,27.225806451612904,30.003225806451614,24.89032258064516,31.1,24.0,23.099999999999998,15,0,0,0,0,5.112903225806451
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,1,Jan,26.822580645161292,29.45483870967742,24.480645161290322,30.7,23.3,77.4,10,0,0,1,1,4.974193548387096
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,2,Fev,26.7,29.032142857142855,24.489285714285717,30.7,23.7,95.4,5,0,0,0,0,4.542857142857143
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,3,Mar,26.903225806451612,29.299999999999997,24.574193548387097,30.4,23.5,106.30000000000001,9,0,0,1,1,4.725806451612903
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,4,Abr,26.083333333333332,28.48,24.113333333333333,30.3,23.3,225.5,2,0,0,2,2,4.366666666666666
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,5,Mai,25.76774193548387,28.325806451612905,23.583870967741937,29.7,22.8,78.60000000000001,0,0,0,0,0,4.741935483870968
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,6,Jun,24.966666666666665,27.586666666666666,22.636666666666667,28.7,20.5,47.2,0,0,0,0,0,4.95
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,7,Jul,24.65806451612903,27.46451612903226,22.20967741935484,28.8,20.9,54.7,0,0,0,0,0,5.254838709677419
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,8,Ago,24.996774193548386,28.019354838709678,22.35483870967742,29.1,21.3,21.6,0,0,0,0,0,5.6645161290322585
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,9,Set,25.493333333333332,28.44333333333333,22.966666666666665,30.1,21.4,22.7,1,0,0,0,0,5.4766666666666675
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,10,Out,26.57741935483871,29.312903225806455,24.174193548387095,30.2,22.6,18.6,3,0,0,0,0,5.138709677419355
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,11,Nov,27.07,29.666666666666668,24.69333333333333,30.7,23.9,30.4,12,0,0,0,0,4.973333333333333
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2018,12,Dez,27.116129032258065,29.86774193548387,24.66774193548387,31.1,23.4,30.8,16,0,0,0,0,5.2
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,1,Jan,27.345161290322583,30.36774193548387,24.799999999999997,31.5,23.7,50.7,23,0,0,0,0,5.567741935483871
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,2,Fev,27.232142857142858,29.657142857142855,25.075,31.2,24.3,107.2,14,0,0,0,0,4.582142857142856
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,3,Mar,27.26774193548387,29.861290322580647,24.970967741935485,32.0,24.3,173.9,15,0,0,1,1,4.890322580645161
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,4,Abr,27.063333333333333,29.64333333333333,24.716666666666665,31.1,23.6,122.2,18,0,0,0,0,4.926666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,5,Mai,26.738709677419354,29.41290322580645,24.34193548387097,30.6,23.3,100.2,11,0,0,1,1,5.070967741935484
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,6,Jun,25.506666666666668,28.14,23.17,29.8,22.1,110.89999999999999,0,0,0,1,1,4.969999999999999
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,7,Jul,24.683870967741935,27.183870967741935,22.480645161290322,28.6,21.4,103.7,0,0,0,1,1,4.703225806451612
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,8,Ago,24.551612903225806,27.164516129032258,22.18064516129032,28.4,20.9,36.9,0,0,0,0,0,4.983870967741935
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,9,Set,25.25,27.876666666666665,22.953333333333333,29.5,22.1,35.2,0,0,0,0,0,4.923333333333334
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,10,Out,26.05483870967742,28.81935483870968,23.55483870967742,29.9,22.4,20.3,0,0,0,0,0,5.264516129032257
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,11,Nov,26.866666666666667,29.813333333333333,24.303333333333335,30.8,23.5,6.4,10,0,0,0,0,5.510000000000001
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2019,12,Dez,27.29032258064516,30.116129032258065,24.916129032258063,31.0,24.0,16.9,18,0,0,0,0,5.199999999999999
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,1,Jan,27.583870967741937,30.296774193548387,25.29032258064516,31.6,24.5,45.5,21,0,0,0,0,5.006451612903226
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,2,Fev,27.82758620689655,30.73793103448276,25.337931034482757,31.9,24.2,92.5,25,0,0,0,0,5.3999999999999995
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,3,Mar,27.458064516129035,30.206451612903226,24.990322580645163,31.4,24.0,150.3,20,0,0,1,1,5.216129032258064
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,4,Abr,27.02,29.83,24.706666666666667,31.3,23.6,153.3,17,0,0,1,1,5.123333333333333
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,5,Mai,26.335483870967742,28.848387096774193,24.116129032258065,30.5,23.4,223.3,4,0,0,1,1,4.732258064516129
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,6,Jun,25.39,28.073333333333334,23.21333333333333,30.3,21.9,163.7,1,0,0,3,3,4.86
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,7,Jul,24.532258064516128,27.274193548387096,22.148387096774194,28.7,21.0,74.0,0,0,0,0,0,5.125806451612903
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,8,Ago,24.706451612903226,27.883870967741935,21.996774193548386,29.3,20.1,26.3,0,0,0,0,0,5.887096774193548
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,9,Set,25.136666666666667,28.083333333333332,22.573333333333334,30.0,21.2,24.7,1,0,0,0,0,5.510000000000001
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,10,Out,26.274193548387096,29.080645161290324,23.825806451612905,29.9,23.0,21.2,0,0,0,0,0,5.254838709677419
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,11,Nov,26.81,29.38,24.503333333333334,30.4,23.1,28.1,4,0,0,0,0,4.876666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2020,12,Dez,26.825806451612905,29.432258064516127,24.551612903225806,30.8,23.2,28.2,4,0,0,0,0,4.880645161290323
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,1,Jan,26.896774193548385,29.53548387096774,24.470967741935485,30.6,23.5,33.5,10,0,0,0,0,5.064516129032258
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,2,Fev,27.185714285714287,29.99642857142857,24.714285714285715,31.1,23.6,40.2,18,0,0,0,0,5.2821428571428575
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,3,Mar,26.767741935483873,29.596774193548388,24.193548387096776,30.7,23.4,66.4,12,0,0,0,0,5.403225806451612
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,4,Abr,26.403333333333332,28.973333333333336,23.990000000000002,30.4,23.3,75.0,4,0,0,0,0,4.983333333333333
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,5,Mai,25.638709677419353,28.42258064516129,23.309677419354838,29.9,22.5,85.3,0,0,0,1,1,5.112903225806452
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,6,Jun,24.990000000000002,28.176666666666666,22.35,29.6,20.8,48.3,0,0,0,0,0,5.826666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,7,Jul,24.85483870967742,27.822580645161292,22.44193548387097,29.1,21.6,54.2,0,0,0,0,0,5.380645161290323
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,8,Ago,24.448387096774194,27.30322580645161,22.187096774193545,29.3,20.7,62.6,0,0,0,0,0,5.116129032258065
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,9,Set,25.743333333333332,28.740000000000002,23.163333333333334,30.1,21.2,36.8,2,0,0,0,0,5.576666666666667
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,10,Out,26.809677419354838,29.758064516129032,24.403225806451612,30.7,23.5,32.199999999999996,13,0,0,0,0,5.354838709677419
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,11,Nov,27.576666666666664,30.233333333333334,25.263333333333332,31.2,24.2,29.3,24,0,0,0,0,4.970000000000001
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2021,12,Dez,27.519354838709678,29.95483870967742,25.46451612903226,30.8,24.7,60.4,16,0,0,0,0,4.490322580645162
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2022,1,Jan,27.096774193548388,29.887096774193548,24.68064516129032,31.3,22.8,98.1,18,0,0,0,0,5.206451612903226
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2022,2,Fev,27.560714285714287,30.275000000000002,25.014285714285712,30.9,23.9,51.0,24,0,0,0,0,5.260714285714285
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2022,3,Mar,26.993548387096773,29.76451612903226,24.629032258064516,31.8,23.9,149.2,16,0,0,1,1,5.135483870967741
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2022,4,Abr,26.8,29.626666666666665,24.313333333333333,31.3,23.4,90.5,12,0,0,0,0,5.3133333333333335
Nordeste,PB,Joao Pessoa,-7.11,-34.86,2022,5,Mai,25.95483870967742,28.42258064516129,24.009677419354837,30.2,22.8,216.7,4,0,0,1,1,4.412903225806451
