Regiao,Estado,Cidade,Ano,Mes,Dia,Temp_Max
Norte,Amazonas,Manaus,2021,5,16,29.1
Norte,Amazonas,Manaus,2021,5,17,29.1
Norte,Amazonas,Manaus,2021,5,18,27.7
Norte,Amazonas,Manaus,2021,5,19,26.8
Norte,Amazonas,Manaus,2021,5,20,30.0
Norte,Amazonas,Manaus,2021,5,21,30.9
Norte,Amazonas,Manaus,2021,5,22,30.0
Norte,Amazonas,Manaus,2021,5,23,30.9
Norte,Amazonas,Manaus,2021,5,24,30.0
Norte,Amazonas,Manaus,2021,5,25,29.7
Norte,Amazonas,Manaus,2021,5,26,30.8
Norte,Amazonas,Manaus,2021,5,27,30.4
Norte,Amazonas,Manaus,2021,5,28,30.4
Norte,Amazonas,Manaus,2021,5,29,30.1
Norte,Amazonas,Manaus,2021,5,30,30.0
Norte,Amazonas,Manaus,2021,5,31,30.0
Norte,Amazonas,Manaus,2021,6,1,30.9
Norte,Amazonas,Manaus,2021,6,2,30.4
Norte,Amazonas,Manaus,2021,6,3,29.4
Norte,Amazonas,Manaus,2021,6,4,30.1
Norte,Amazonas,Manaus,2021,6,5,30.0
Norte,Amazonas,Manaus,2021,6,6,30.9
Norte,Amazonas,Manaus,2021,6,7,30.0
Norte,Amazonas,Manaus,2021,6,8,29.8
Norte,Amazonas,Manaus,2021,6,9,28.1
Norte,Amazonas,Manaus,2021,6,10,28.5
Norte,Amazonas,Manaus,2021,6,11,28.9
Norte,Amazonas,Manaus,2021,6,12,30.2
Norte,Amazonas,Manaus,2021,6,13,29.0
Norte,Amazonas,Manaus,2021,6,14,27.4
Norte,Amazonas,Manaus,2021,6,15,26.5
Norte,Amazonas,Manaus,2021,6,16,27.9
Norte,Amazonas,Manaus,2021,6,17,28.7
Norte,Amazonas,Manaus,2021,6,18,29.7
Norte,Amazonas,Manaus,2021,6,19,28.5
Norte,Amazonas,Manaus,2021,6,20,29.9
Norte,Amazonas,Manaus,2021,6,21,30.0
Norte,Amazonas,Manaus,2021,6,22,29.9
Norte,Amazonas,Manaus,2021,6,23,28.2
Norte,Amazonas,Manaus,2021,6,24,30.4
Norte,Amazonas,Manaus,2021,6,25,29.8
Norte,Amazonas,Manaus,2021,6,26,30.0
Norte,Amazonas,Manaus,2021,6,27,29.4
Norte,Amazonas,Manaus,2021,6,28,28.7
Norte,Amazonas,Manaus,2021,6,29,27.7
Norte,Amazonas,Manaus,2021,6,30,26.9
Norte,Amazonas,Manaus,2021,7,1,26.9
Norte,Amazonas,Manaus,2021,7,2,29.1
Norte,Amazonas,Manaus,2021,7,3,26.9
Norte,Amazonas,Manaus,2021,7,4,26.6
Norte,Amazonas,Manaus,2021,7,5,27.2
Norte,Amazonas,Manaus,2021,7,6,27.8
Norte,Amazonas,Manaus,2021,7,7,29.9
Norte,Amazonas,Manaus,2021,7,8,29.5
Norte,Amazonas,Manaus,2021,7,9,29.9
Norte,Amazonas,Manaus,2021,7,10,30.0
Norte,Amazonas,Manaus,2021,7,11,28.9
