Regiao,Estado,Cidade,Ano,Mes,Dia,Temp_Max,Temp_Min,Temp_Media
Norte,AC,Rio Branco,2021,5,17,31.0,21.1,26.05
Norte,AC,Rio Branco,2021,5,18,30.4,22.4,26.4
Norte,AC,Rio Branco,2021,5,19,30.4,19.2,24.8
Norte,AC,Rio Branco,2021,5,20,30.2,21.6,25.9
Norte,AC,Rio Branco,2021,5,21,30.1,22.5,26.3
Norte,AC,Rio Branco,2021,5,22,30.2,22.0,26.1
Norte,AC,Rio Branco,2021,5,23,28.6,23.0,25.8
Norte,AC,Rio Branco,2021,5,24,23.4,18.7,21.05
Norte,AC,Rio Branco,2021,5,25,28.4,16.7,22.55
Norte,AC,Rio Branco,2021,5,26,30.5,19.0,24.75
Norte,AC,Rio Branco,2021,5,27,30.5,20.1,25.3
Norte,AC,Rio Branco,2021,5,28,30.1,20.2,25.15
Norte,AC,Rio Branco,2021,5,29,30.4,21.1,25.75
Norte,AC,Rio Branco,2021,5,30,30.1,23.0,26.55
Norte,AC,Rio Branco,2021,5,31,28.2,22.2,25.2
Norte,AC,Rio Branco,2021,6,1,28.4,22.1,25.25
Norte,AC,Rio Branco,2021,6,2,29.9,20.1,25.0
Norte,AC,Rio Branco,2021,6,3,30.5,21.0,25.75
Norte,AC,Rio Branco,2021,6,4,30.3,21.0,25.65
Norte,AC,Rio Branco,2021,6,5,30.4,21.0,25.7
Norte,AC,Rio Branco,2021,6,6,29.6,20.7,25.15
Norte,AC,Rio Branco,2021,6,7,28.5,22.2,25.35
Norte,AC,Rio Branco,2021,6,8,29.8,22.4,26.1
Norte,AC,Rio Branco,2021,6,9,29.4,21.9,25.65
Norte,AC,Rio Branco,2021,6,10,31.1,21.4,26.25
Norte,AC,Rio Branco,2021,6,11,29.1,20.8,24.95
Norte,AC,Rio Branco,2021,6,12,25.5,17.9,21.7
Norte,AC,Rio Branco,2021,6,13,28.5,18.6,23.55
Norte,AC,Rio Branco,2021,6,14,29.1,18.2,23.65
Norte,AC,Rio Branco,2021,6,15,29.5,19.4,24.45
Norte,AC,Rio Branco,2021,6,16,29.6,20.0,24.8
Norte,AC,Rio Branco,2021,6,17,29.4,21.0,25.2
Norte,AC,Rio Branco,2021,6,18,27.6,21.0,24.3
Norte,AC,Rio Branco,2021,6,19,28.5,19.9,24.2
Norte,AC,Rio Branco,2021,6,20,27.0,19.4,23.2
Norte,AC,Rio Branco,2021,6,21,28.6,18.1,23.35
Norte,AC,Rio Branco,2021,6,22,28.9,19.1,24.0
Norte,AC,Rio Branco,2021,6,23,29.6,20.1,24.85
Norte,AC,Rio Branco,2021,6,24,29.9,19.6,24.75
Norte,AC,Rio Branco,2021,6,25,30.0,18.7,24.35
Norte,AC,Rio Branco,2021,6,26,31.0,19.9,25.45
Norte,AC,Rio Branco,2021,6,27,30.2,21.2,25.7
Norte,AC,Rio Branco,2021,6,28,24.1,16.6,20.35
Norte,AC,Rio Branco,2021,6,29,16.7,12.6,14.65
Norte,AC,Rio Branco,2021,6,30,22.5,13.9,18.2
Norte,AC,Rio Branco,2021,7,1,24.5,13.2,18.85
Norte,AC,Rio Branco,2021,7,2,26.9,13.6,20.25
Norte,AC,Rio Branco,2021,7,3,28.5,14.8,21.65
Norte,AC,Rio Branco,2021,7,4,29.5,15.6,22.55
Norte,AC,Rio Branco,2021,7,5,30.1,16.6,23.35
Norte,AC,Rio Branco,2021,7,6,30.5,17.9,24.2
Norte,AC,Rio Branco,2021,7,7,30.6,18.9,24.75
Norte,AC,Rio Branco,2021,7,8,31.5,21.1,26.3
Norte,AC,Rio Branco,2021,7,9,30.9,20.0,25.45
Norte,AC,Rio Branco,2021,7,10,30.6,21.1,25.85
Norte,AC,Rio Branco,2021,7,11,32.9,19.8,26.35
Norte,AC,Rio Branco,2021,7,12,31.6,19.4,25.5
Norte,AC,Rio Branco,2021,7,13,31.9,19.7,25.8
Norte,AC,Rio Branco,2021,7,14,31.6,21.0,26.3
Norte,AC,Rio Branco,2021,7,15,31.5,22.5,27.0
Norte,AC,Rio Branco,2021,7,16,32.8,21.0,26.9
Norte,AC,Rio Branco,2021,7,17,31.9,21.6,26.75
Norte,AC,Rio Branco,2021,7,18,31.9,22.1,27.0
Norte,AC,Rio Branco,2021,7,19,27.1,18.8,22.95
Norte,AC,Rio Branco,2021,7,20,28.5,16.9,22.7
Norte,AC,Rio Branco,2021,7,21,29.9,17.4,23.65
Norte,AC,Rio Branco,2021,7,22,31.5,17.6,24.55
Norte,AC,Rio Branco,2021,7,23,32.5,17.1,24.8
Norte,AC,Rio Branco,2021,7,24,33.0,18.2,25.6
Norte,AC,Rio Branco,2021,7,25,32.9,20.2,26.55
Norte,AC,Rio Branco,2021,7,26,32.2,21.9,27.05
Norte,AC,Rio Branco,2021,7,27,32.7,21.7,27.2
Norte,AC,Rio Branco,2021,7,28,25.8,18.8,22.3
Norte,AC,Rio Branco,2021,7,29,24.5,16.9,20.7
Norte,AC,Rio Branco,2021,7,30,26.6,14.0,20.3
Norte,AC,Rio Branco,2021,7,31,29.0,15.6,22.3
Norte,AC,Rio Branco,2021,8,1,31.3,17.8,24.55
Norte,AC,Rio Branco,2021,8,2,29.8,18.7,24.25
Norte,AC,Rio Branco,2021,8,3,30.1,18.1,24.1
Norte,AC,Rio Branco,2021,8,4,31.7,18.3,25.0
Norte,AC,Rio Branco,2021,8,5,32.0,19.0,25.5
Norte,AC,Rio Branco,2021,8,6,32.8,18.2,25.5
Norte,AC,Rio Branco,2021,8,7,33.0,19.1,26.05
Norte,AC,Rio Branco,2021,8,8,33.9,19.8,26.85
Norte,AC,Rio Branco,2021,8,9,33.9,19.5,26.7
Norte,AC,Rio Branco,2021,8,10,33.2,20.4,26.8
Norte,AC,Rio Branco,2021,8,11,32.8,20.4,26.6
Norte,AC,Rio Branco,2021,8,12,30.5,20.8,25.65
Norte,AC,Rio Branco,2021,8,13,30.9,18.7,24.8
Norte,AC,Rio Branco,2021,8,14,31.7,19.5,25.6
