Regiao,Estado,Cidade,Latitude,Longitude,Ano,Mes,Nome_Mes,Temp_Media_Mensal,Temp_Max_Media_Mensal,Temp_Min_Media_Mensal,Maior_Temp_Max,Menor_Temp_Min,Precipitacao_Total,Dias_Quentes,Dias_Muito_Quentes,Dias_Frios,Dias_Chuva_Forte,Dias_Extremos,Amplitude_Media
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,1,Jan,27.24,32.35,22.3,35.04,20.3,371.18,31,1,0,7,7,10.05
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,2,Fev,26.96,32.23,21.88,35.02,18.54,389.57,26,2,0,9,11,10.35
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,3,Mar,25.69,31.11,20.73,33.54,19.07,230.66,26,0,0,4,4,10.38
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,4,Abr,24.34,29.34,19.39,32.04,16.58,236.53,12,0,0,3,3,9.94
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,5,Mai,22.27,27.41,17.23,31.22,14.23,140.31,3,0,0,2,2,10.18
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,6,Jun,21.06,26.4,15.78,29.45,13.59,120.74,0,0,0,2,2,10.62
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,7,Jul,20.59,25.81,15.57,28.42,12.52,108.09,0,0,0,2,2,10.24
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,8,Ago,20.72,26.25,15.3,30.03,11.26,68.28,1,0,0,0,0,10.95
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,9,Set,22.11,27.36,17.08,29.43,13.66,87.38,0,0,0,1,1,10.29
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,10,Out,24.12,29.54,18.8,32.7,15.83,49.68,14,0,0,0,0,10.73
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,11,Nov,25.43,30.69,20.42,32.98,18.27,96.32,22,0,0,0,0,10.27
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2011,12,Dez,27.01,32.09,22.1,34.8,19.75,303.94,31,0,0,3,3,9.99
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,1,Jan,27.97,33.07,23.05,36.81,20.41,403.27,30,2,0,8,10,10.02
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,2,Fev,27.3,32.45,22.34,37.02,19.43,281.11,25,3,0,4,7,10.11
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,3,Mar,25.75,31.12,20.61,34.49,17.29,385.85,26,0,0,6,6,10.52
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,4,Abr,24.09,29.27,19.23,32.88,15.65,118.46,9,0,0,1,1,10.04
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,5,Mai,22.44,27.92,17.3,32.29,13.54,126.64,1,0,0,1,1,10.61
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,6,Jun,21.23,26.51,16.24,29.79,12.5,87.6,0,0,0,0,0,10.27
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,7,Jul,20.72,25.81,15.68,30.11,12.19,103.65,1,0,0,2,2,10.14
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,8,Ago,20.94,26.29,15.71,29.57,13.19,166.08,0,0,0,2,2,10.58
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,9,Set,22.27,27.64,17.16,30.8,14.07,71.33,1,0,0,0,0,10.48
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,10,Out,24.11,29.25,19.19,32.21,16.4,104.95,8,0,0,2,2,10.06
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,11,Nov,25.19,30.44,20.01,32.88,17.46,179.75,16,0,0,1,1,10.43
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2012,12,Dez,27.13,32.61,21.89,35.52,18.65,171.91,31,1,0,1,1,10.72
Centro-Oeste,DF,Brasilia,-15.78,-47.93,2013,1,Jan,27.2,32.27,22.12,36.52,19.3,470.71,29,3,0,8,10,10.16
