Regiao,Estado,Cidade,Latitude,Longitude,Tendencia_C_por_Ano,Variacao_Estimada_C,Anos_Analisados
Centro-Oeste,DF,Brasilia,-15.78,-47.93,0.0171,0.24,15
Centro-Oeste,GO,Goiania,-16.68,-49.25,0.0194,0.27,15
Centro-Oeste,MS,Campo Grande,-20.44,-54.64,0.0112,0.16,15
Centro-Oeste,MT,Cuiaba,-15.6,-56.09,0.0206,0.29,15
Nordeste,AL,Maceio,-9.66,-35.73,0.0134,0.19,15
Nordeste,BA,Salvador,-12.97,-38.5,0.0186,0.26,15
Nordeste,CE,Fortaleza,-3.71,-38.54,0.016,0.22,15
Nordeste,MA,Sao Luis,-2.53,-44.3,0.0167,0.23,15
Nordeste,PB,Joao Pessoa,-7.11,-34.86,0.0183,0.26,15
Nordeste,PE,Recife,-8.05,-34.88,0.0143,0.2,15
Nordeste,PI,Teresina,-5.09,-42.8,0.0085,0.12,15
Nordeste,RN,Natal,-5.79,-35.2,0.0146,0.2,15
Nordeste,SE,Aracaju,-10.91,-37.07,0.0142,0.2,15
Norte,AC,Rio Branco,-9.97,-67.81,0.0169,0.24,15
Norte,AM,Manaus,-3.11,-60.02,0.0105,0.15,15
Norte,AP,Macapa,0.03,-51.06,0.0111,0.16,15
Norte,PA,Belem,-1.27,-48.5,0.017,0.24,15
Norte,RO,Porto Velho,-8.76,-63.9,0.0199,0.28,15
Norte,RR,Boa Vista,2.82,-60.67,0.0144,0.2,15
Norte,TO,Palmas,-10.16,-48.33,0.015,0.21,15
Sudeste,ES,Vitoria,-20.31,-40.31,0.0144,0.2,15
Sudeste,MG,Belo Horizonte,-19.92,-43.94,0.0124,0.17,15
Sudeste,RJ,Rio de Janeiro,-22.9,-43.17,0.0142,0.2,15
Sudeste,SP,Sao Paulo,-23.55,-46.63,0.0214,0.3,15
Sul,PR,Curitiba,-25.42,-49.27,0.0178,0.25,15
Sul,RS,Porto Alegre,-30.03,-51.22,0.0184,0.26,15
Sul,SC,Florianopolis,-27.59,-48.54,0.0259,0.36,15
